nwb_id,path,size_mb,identifier
766787512,sub-766758349/sub-766758349_ses-766787512_icephys.nwb,38.5,82d5e1fc-2ed4-448f-a6b5-0af45cad9dba
766789198,sub-766758349/sub-766758349_ses-766789198_icephys.nwb,18.7,28a31e69-c036-4e16-8176-819c942f5b22
766790506,sub-766758349/sub-766758349_ses-766790506_icephys.nwb,20.2,cc4a84a2-0529-45b4-9c43-a16c2ae19e01
766791630,sub-766758349/sub-766758349_ses-766791630_icephys.nwb,18.7,b52cf1ed-f131-439f-8ea7-7fe3becae5a0
766983957,sub-766758349/sub-766758349_ses-766983957_icephys.nwb,30.7,5d30e8f5-0cd6-449e-990b-d437de1823c3
767084283,sub-766758349/sub-766758349_ses-767084283_icephys.nwb,22.5,d7463b1e-3021-4023-ab13-d2193473c172
767428117,sub-767377358/sub-767377358_ses-767428117_icephys.nwb,20.2,f7714b48-59af-44e2-a38a-f5fbefd8ff34
767800905,sub-767377358/sub-767377358_ses-767800905_icephys.nwb,18.6,962adcd1-0b4d-4416-b775-f82437f0f2fe
768876927,sub-768678784/sub-768678784_ses-768876927_icephys.nwb,25.3,0c79453d-63d5-4d9b-95bd-a25314382353
768896509,sub-768678784/sub-768678784_ses-768896509_icephys.nwb,57.5,6077bb3b-fa4a-46b8-b3ba-06f4d9887d0b
770249578,sub-770227957/sub-770227957_ses-770249578_icephys.nwb,80.0,d99ac351-0e04-4204-975b-69bae4eb57a6
770249912,sub-770227957/sub-770227957_ses-770249912_icephys.nwb,39.8,ee63b50d-bf3e-4d9a-b063-2d2f6ad7f033
770275397,sub-770227957/sub-770227957_ses-770275397_icephys.nwb,72.3,ec8c71b4-afbd-44c1-9a76-6c973d591c01
770329854,sub-770227957/sub-770227957_ses-770329854_icephys.nwb,66.4,13c02929-e881-4f5a-bd42-f10fc60f6d4d
770432738,sub-770227957/sub-770227957_ses-770432738_icephys.nwb,18.6,6379cf34-7f54-4356-8514-39ada2819f3e
770432788,sub-770227957/sub-770227957_ses-770432788_icephys.nwb,37.2,d248410f-590b-4b22-b12e-90889d290f43
770559733,sub-770227957/sub-770227957_ses-770559733_icephys.nwb,24.2,62da5a37-667f-462c-9b53-ad88e7f90516
770622741,sub-770227957/sub-770227957_ses-770622741_icephys.nwb,20.7,2b047338-711f-4483-8be7-9fcf3b979c44
774394206,sub-774230643/sub-774230643_ses-774394206_icephys.nwb,26.8,7fbb14f3-8480-4382-bf1b-27a7bf1089d9
783625394,sub-783453365/sub-783453365_ses-783625394_icephys.nwb,81.2,7aaabd9d-9dac-4135-9d27-559ff0cebcfc
783677214,sub-783453365/sub-783453365_ses-783677214_icephys.nwb,21.5,39589737-4285-4363-b237-bda2a170157c
783683300,sub-783453365/sub-783453365_ses-783683300_icephys.nwb,19.7,87d68b8f-7245-4cbb-9a36-487caecdf4c9
785369493,sub-783453365/sub-783453365_ses-785369493_icephys.nwb,24.8,b17943d9-4881-41b2-b926-a4524af9aa3a
786434144,sub-786359945/sub-786359945_ses-786434144_icephys.nwb,23.8,e363d65d-c40d-422a-aa50-7dbb5a0c807e
786447500,sub-786359945/sub-786359945_ses-786447500_icephys.nwb,76.0,58c27102-8421-4dc1-a8af-532e0184e6d6
786474369,sub-786359945/sub-786359945_ses-786474369_icephys.nwb,76.4,f9371243-bd54-4eee-8e1b-7f03b38fe88c
793394883,sub-793165711/sub-793165711_ses-793394883_icephys.nwb,91.5,3433a215-c1d6-4c43-9263-08e804d280b0
793406131,sub-793165711/sub-793165711_ses-793406131_icephys.nwb,29.1,e1f17bb5-f699-48d2-a018-eea8df8f3bf8
793428505,sub-793165711/sub-793165711_ses-793428505_icephys.nwb,56.1,4ccf7577-df16-443c-80b1-a7ed2e471c88
793439465,sub-793165711/sub-793165711_ses-793439465_icephys.nwb,93.2,50457529-909c-42bb-91e7-3ffdaad2e2b1
793461054,sub-793165711/sub-793165711_ses-793461054_icephys.nwb,25.0,4b7c4ef2-0c19-40d5-a93a-8bc3faf7ff28
793601795,sub-793165711/sub-793165711_ses-793601795_icephys.nwb,28.1,f1168e34-868b-4b62-9193-9efbfe5341fb
793604699,sub-793165711/sub-793165711_ses-793604699_icephys.nwb,88.3,b9d5bd4d-7bc4-4aa0-a8a9-217a0f102f8d
793650421,sub-793165711/sub-793165711_ses-793650421_icephys.nwb,60.5,90368593-c679-4b19-8c3a-7cd4fbc4f07a
793689834,sub-793165711/sub-793165711_ses-793689834_icephys.nwb,89.5,2edfaf51-7d8e-4ece-bf0d-509567731e9b
794171529,sub-793165711/sub-793165711_ses-794171529_icephys.nwb,61.1,d4102981-9f56-45f1-8ec2-4e4da8fd1b96
794207904,sub-793165711/sub-793165711_ses-794207904_icephys.nwb,40.0,ea7f860f-c048-4831-b3fa-4d7bbd3400f9
794266248,sub-793165711/sub-793165711_ses-794266248_icephys.nwb,26.9,936b5b78-3298-47e7-8a0a-df144dab76d9
794295941,sub-793165711/sub-793165711_ses-794295941_icephys.nwb,22.1,ee4c9a64-ad56-4231-973c-9b76d8c4171e
794333838,sub-793165711/sub-793165711_ses-794333838_icephys.nwb,19.1,18488991-6d6e-484d-ad91-5b6a7a559402
794336361,sub-793165711/sub-793165711_ses-794336361_icephys.nwb,20.8,28c34d3c-14c8-4246-8f2a-5eb4b651afd8
797953286,sub-797676582/sub-797676582_ses-797953286_icephys.nwb,44.9,b89c7d0e-e7b9-4cad-bb28-09430b3e222a
798008836,sub-797676582/sub-797676582_ses-798008836_icephys.nwb,29.2,b04be122-c413-4277-8741-fef016b4b249
798048902,sub-797676582/sub-797676582_ses-798048902_icephys.nwb,54.0,58e72e08-bb01-4d76-b66a-896c04606353
798146020,sub-797676582/sub-797676582_ses-798146020_icephys.nwb,42.9,8fa7168e-1afa-40ac-a499-5e6f0734507d
798199041,sub-797676582/sub-797676582_ses-798199041_icephys.nwb,61.0,90e03f22-f5a1-4ba2-9148-2c71ad85a09b
798209948,sub-797676582/sub-797676582_ses-798209948_icephys.nwb,19.0,55b5166e-edad-47d4-a519-46d62415c2a2
798297332,sub-797676582/sub-797676582_ses-798297332_icephys.nwb,61.4,a1301f74-099c-454d-a350-62bac23de4a2
798321505,sub-797676582/sub-797676582_ses-798321505_icephys.nwb,59.2,2d4bc115-8371-423a-966f-8465caf750c3
798332188,sub-797676582/sub-797676582_ses-798332188_icephys.nwb,59.3,d20d419d-d291-400e-ae91-239bdc99c2c0
798337169,sub-797676582/sub-797676582_ses-798337169_icephys.nwb,26.9,127ee8d6-49ae-4e02-8bdd-22ba2d3ce9e1
798349842,sub-797676582/sub-797676582_ses-798349842_icephys.nwb,59.4,e10f4b0a-ebdb-4df3-a3e5-f2d4ac74121c
798866690,sub-797676582/sub-797676582_ses-798866690_icephys.nwb,59.2,df3189d3-892f-4d71-a028-5d39ad3bdcc5
799031059,sub-793165711/sub-793165711_ses-799031059_icephys.nwb,21.2,98b1f046-4ab4-4e6a-b60e-6e49076c1933
799057801,sub-793165711/sub-793165711_ses-799057801_icephys.nwb,20.0,950d3f7b-dbc4-4fb4-a0c4-5adff9ca5af3
