,subclass_scANVI,subclass_conf_scANVI,supertype_scANVI,supertype_conf_scANVI
SM-J2BCQ_S675_E1-50,Lamp5,0.9999662637710572,Lamp5_5,0.9993529915809632
SM-J2BCQ_S676_E1-50,L2/3 IT,0.9989668130874634,L2/3 IT_1,1.0
SM-J2BCQ_S677_E1-50,L2/3 IT,0.9999531507492064,L2/3 IT_10,0.9790531992912292
AB-S40308_S200_E1-50,L2/3 IT,1.0,L2/3 IT_10,0.9346312284469604
AB-S40308_S201_E1-50,L2/3 IT,0.9960594177246094,L2/3 IT_10,0.7869064807891846
AB-S40308_S202_E1-50,Lamp5,0.9999754428863524,Lamp5_2,0.9999797344207764
AB-S40308_S203_E1-50,L4 IT,0.9999991655349731,L4 IT_2,0.9999922513961792
AB-S40308_S204_E1-50,L4 IT,0.9999998807907104,L4 IT_2,0.999996542930603
SM-GBMFY_S001_E1-50,Sst,0.9965437054634094,Sst_11,0.8419888019561768
SM-GBMFY_S002_E1-50,L2/3 IT,1.0,L2/3 IT_5,0.9336336851119996
SM-J3A22_S021_E1-50,L4 IT,0.999984860420227,L4 IT_2,0.9999992847442628
SM-J3A22_S022_E1-50,L2/3 IT,1.0,L2/3 IT_10,0.9699808955192566
SM-J3A22_S041_E1-50,L2/3 IT,0.9998998641967772,L2/3 IT_10,0.9998019337654114
SM-J3A22_S042_E1-50,L2/3 IT,1.0,L2/3 IT_1,0.999997615814209
SM-J3A22_S043_E1-50,L2/3 IT,1.0,L2/3 IT_12,0.5139301419258118
SM-J3A22_S080_E1-50,Pvalb,0.9934433698654176,Pvalb_15,0.996649444103241
SM-J3A22_S081_E1-50,Pvalb,0.9999979734420776,Pvalb_7,0.9937028288841248
SM-J3A2Y_S154_E1-50,L4 IT,1.0,L4 IT_2,0.9999630451202391
SM-J3A2Y_S155_E1-50,Pvalb,0.9998248219490052,Pvalb_8,0.623266339302063
SM-J3A2Y_S156_E1-50,Pvalb,0.999852418899536,Pvalb_2,0.9217801690101624
SM-J3A2Y_S157_E1-50,Sst,0.9994326233863832,Sst_13,0.6428923010826111
SM-GE5TO_S101_E1-50,L2/3 IT,1.0,L2/3 IT_1,1.0
SM-GE5TO_S102_E1-50,Pvalb,0.9985666871070862,Pvalb_7,0.9830443263053894
SM-GE5TO_S103_E1-50,L2/3 IT,1.0,L2/3 IT_12,0.9791371822357178
SM-GE5TO_S104_E1-50,L2/3 IT,1.0,L2/3 IT_1,1.0
SM-GE5TO_S105_E1-50,L4 IT,0.999976634979248,L4 IT_2,0.9989649057388306
SM-GE5TO_S106_E1-50,L4 IT,0.9911636114120485,L4 IT_2,0.9999871253967284
SM-GE5TO_S107_E1-50,L2/3 IT,1.0,L2/3 IT_1,0.9999997615814208
SM-GE5TO_S111_E1-50,L2/3 IT,1.0,L2/3 IT_1,1.0
SM-GE5TO_S112_E1-50,Pvalb,1.0,Pvalb_14,0.9999003410339355
SM-GE5TO_S113_E1-50,Pvalb,1.0,Pvalb_2,0.5925328731536865
SM-GE5TO_S114_E1-50,L4 IT,1.0,L4 IT_4,1.0
SM-GE5TO_S115_E1-50,L2/3 IT,1.0,L2/3 IT_1,1.0
SM-GE5TO_S116_E1-50,L2/3 IT,1.0,L2/3 IT_6,0.9969542026519777
SM-GE5TO_S117_E1-50,L5 IT,1.0,L5 IT_6,0.9939397573471068
SM-GE5TO_S118_E1-50,L2/3 IT,1.0,L2/3 IT_1,0.9999998807907104
SM-GE5TO_S119_E1-50,L5 IT,0.9999687671661376,L5 IT_5,0.9567744731903076
SM-GE5TO_S123_E1-50,L2/3 IT,1.0,L2/3 IT_1,0.9999985694885254
SM-GE5TO_S124_E1-50,L2/3 IT,1.0,L2/3 IT_1,1.0
SM-GE5TO_S125_E1-50,Vip,0.9999992847442628,Vip_1,0.9979300498962402
SM-GE5TO_S126_E1-50,L2/3 IT,1.0,L2/3 IT_1,0.9999980926513672
SM-GE5TO_S127_E1-50,L2/3 IT,1.0,L2/3 IT_1,0.999997854232788
