ses_id,path,size_mb,identifier
835572569,sub-835477230/sub-835477230_ses-835572569_icephys.nwb,34.3,0a86822f-c520-41e6-a9c5-c2b513e5ffcb
835578575,sub-835477230/sub-835477230_ses-835578575_icephys.nwb,59.8,d8b82477-9b3c-455d-9bbf-7547162b1ceb
835596639,sub-835477230/sub-835477230_ses-835596639_icephys.nwb,45.6,e68a5285-e542-4b9f-9485-dd9eed9202f5
835611167,sub-835477230/sub-835477230_ses-835611167_icephys.nwb,27.8,a4df946d-c0e6-4308-be3c-3000a83e6417
835614900,sub-835477230/sub-835477230_ses-835614900_icephys.nwb,36.3,7f7e19c5-2b01-40aa-a588-5898e0a22ec7
835615124,sub-835477230/sub-835477230_ses-835615124_icephys.nwb,41.4,d06d6a9b-d85e-402e-9e69-bde0cf584e4b
835631731,sub-835477230/sub-835477230_ses-835631731_icephys.nwb,29.5,b97f6dfb-be10-4cac-90f5-2fa8f403766d
835634831,sub-835477230/sub-835477230_ses-835634831_icephys.nwb,64.3,5297a8f9-6c9e-4e3e-a170-85d07a176dc6
835648738,sub-835477230/sub-835477230_ses-835648738_icephys.nwb,48.9,eecfda7a-6155-46af-aaa3-51841e4a04c8
835693070,sub-835477230/sub-835477230_ses-835693070_icephys.nwb,25.2,7eeb9d55-6619-4ffb-aa50-47221cd95ad3
835699620,sub-835477230/sub-835477230_ses-835699620_icephys.nwb,56.8,626a2272-159c-4c84-a17f-954bbc0557bf
835704054,sub-835477230/sub-835477230_ses-835704054_icephys.nwb,24.5,565b14f2-9a40-4349-a204-3a096fc78c19
835856969,sub-835477230/sub-835477230_ses-835856969_icephys.nwb,37.2,c407b2a8-fc5a-422c-9876-dc20e171d5e1
835859370,sub-835477230/sub-835477230_ses-835859370_icephys.nwb,38.6,0e9b29b8-b266-4540-b74f-7ac4f328b286
839897299,sub-839796862/sub-839796862_ses-839897299_icephys.nwb,63.7,0e00d50d-668f-46f8-b598-1cbc3290e6d5
839901711,sub-839796862/sub-839796862_ses-839901711_icephys.nwb,19.7,852cf9b8-95d8-41e9-917e-151a7529a41f
